project_id,HC1,HC2,HC3,AQ1,AQ2,AQ3,SC1,SC2,SC3,SF1,SF2,SF3,EE1,EE2,EE3,data_status
SYN_R18,89.9993,76.7691,79.1496,65.4545,61.7004,68.1437,58.1152,61.5318,79.4165,57.8530,63.5819,60.9309,9.1236,72.4643,73.1646,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R19,69.4665,86.9311,77.9660,73.1253,77.8262,71.1307,70.8481,53.1600,84.4381,53.9456,86.1878,68.3305,7.4543,72.4838,60.9363,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R20,54.5391,49.7451,63.3638,71.4696,56.7628,68.6280,49.0192,83.1123,70.6269,89.8585,62.3606,72.1593,7.9467,72.5063,48.8433,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R21,88.4164,51.9613,77.9686,56.4660,71.7585,61.4907,48.8961,80.5795,57.1526,86.6062,49.3270,63.7751,8.8515,65.1926,48.8078,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R22,52.3152,59.2045,99.5430,59.3406,58.2230,75.9060,54.2422,71.8914,61.7116,84.1793,87.2646,85.9276,7.9689,74.2905,99.6435,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R23,47.2222,84.1045,79.9963,75.2271,78.1779,82.5137,72.8767,87.4839,55.9863,78.5895,90.3365,81.1208,8.4273,77.4490,82.1094,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R24,90.2248,78.3172,84.6040,62.1266,78.0594,69.7405,65.9665,67.4717,54.2263,48.8290,55.9658,70.7267,8.5953,63.9979,74.5786,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R25,52.5512,60.1201,81.1222,76.9500,54.5798,78.7565,79.6027,72.8723,86.4929,89.9924,46.0931,94.7086,7.1905,79.8473,84.3432,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R26,62.5261,81.1867,71.0747,68.0949,56.8897,72.9803,64.3939,72.2821,52.7965,82.5726,63.6533,74.0709,9.8631,65.4930,54.9383,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R27,78.6907,78.8512,76.1417,67.0906,62.6720,70.2564,54.4270,65.9404,71.5191,47.2818,75.3267,74.0550,9.0350,76.2139,56.1210,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R28,82.6949,64.9555,70.9774,65.0276,68.6212,69.5390,75.1380,47.5072,82.1556,85.3166,50.9599,56.0778,9.1408,75.3058,64.0017,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R29,87.6358,55.3931,76.6758,66.2942,53.0462,66.8508,57.9164,74.3766,80.5005,58.4102,74.8663,75.7931,7.7709,71.3257,56.7114,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R30,80.8332,86.0143,73.6914,74.7072,77.1593,75.2070,55.8817,62.5246,71.3718,43.2019,78.9528,83.1729,6.2629,77.7533,61.5043,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R31,89.6143,59.7952,64.2804,75.6502,65.9247,61.6200,63.3920,47.5847,77.6743,75.0080,77.0488,67.1067,8.1381,66.8391,53.6455,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R32,85.1257,49.3595,77.3990,63.5339,76.7778,74.1089,75.1549,99.8065,58.6378,80.7354,74.3696,59.2055,7.7542,69.4338,80.0820,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R33,81.5475,84.9785,84.2354,83.0024,71.2146,69.8455,60.5289,61.8030,71.7934,44.8958,55.3664,69.7605,8.7603,73.7629,58.0009,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R34,87.4806,82.3732,68.1641,67.0761,66.5306,67.3932,75.3900,48.3382,99.6216,63.9205,55.4091,61.1890,9.7950,65.4080,57.7559,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R35,93.9146,75.2312,56.4636,62.7873,66.6181,59.3019,48.9940,59.0886,52.8368,56.5958,51.9756,64.6363,10.0698,64.8047,51.5067,SYNTHETIC_REFERENCE_SCAFFOLD
SYN_R36,63.3573,88.7829,88.1305,72.3336,74.9501,73.5669,63.7671,63.8213,83.2659,63.2225,67.1461,68.4154,8.3387,81.1850,80.7771,SYNTHETIC_REFERENCE_SCAFFOLD
